Mã số SV,Đại số tuyến tính,Giải tích hàm một biến,Giải tích hàm nhiều biến,Chủ nghĩa Mác - Lê nin 1,Pháp luật đại cương,Tin học đại cương,Toán rời rạc,Kỹ năng giao tiếp và thuyết trình,Tiếng Anh 1,Tiếng Anh 2,Điểm TB,Cảnh báo học vụ
1851061438,9.7,9.6,9.1,8,7.2,10,8.7,7.8,9.3,8.8,8.82,No
1851061743,9.4,8.5,10,7.6,6.1,10,8.5,8.4,8.8,9,8.63,No
1851061794,8.5,9.1,9.4,7.2,6.1,9.8,9,7.8,8.3,8.6,8.38,No
1851061437,8.2,6.6,8.1,7.7,7,10,8.5,7.3,9.9,9.8,8.31,No
1851061605,9.7,8.8,10,7.4,7.3,4.5,8.6,8.1,8.9,7.9,8.12,No
1851061528,9.6,8.6,9.4,6.8,6.4,7.9,8,7.4,8.2,8.6,8.09,No
1851061690,9.2,7.1,9.1,7.7,7.6,9,5.8,6.9,9.1,9.4,8.09,No
1851061369,8.8,8.8,8.8,6.2,7.5,9.9,8.5,6.8,8.3,7,8.06,No
1851061642,9.2,7.3,4.8,9.2,6.5,9.5,8.5,7.5,9.1,8.7,8.03,No
1851061725,7,8.5,9.5,7.7,6.9,6.7,6.8,7.4,9.8,9.4,7.97,No
1851062330,9.1,9.3,9.2,6.6,4.6,10,8.5,8,5.4,8,7.87,No
1851061361,8.5,8.2,8.9,7.2,7.5,6.3,8.4,7.7,7.9,7.5,7.81,No
1851061386,8.2,6.5,7.9,6.8,7.8,7.5,7.8,7.5,9,8.9,7.79,No
1851060590,8.2,8.3,9.2,6.8,6.9,8,8.5,6.7,7.4,7.7,7.77,No
1851061961,9.2,9.6,7.9,7.6,7.4,5.8,7.8,7.9,6.9,7.5,7.76,No
1851061399,9.8,7,9.3,6,5.7,9.1,7.3,6.8,7.7,8.8,7.75,No
1851061597,9.1,5.9,7,6.8,6.6,9.3,7.3,7,8.9,8.7,7.66,No
1851061679,10,7.5,8.4,6.3,7.2,7.1,6.3,7.4,7.9,7.9,7.6,No
1851060100,6.7,7.3,8.2,8.1,7.5,7,5.7,7.3,9.2,9,7.6,No
1851061761,9.2,9.2,7.9,4,6.7,9.5,6.5,6.4,8.4,7.9,7.57,No
1851061374,7.9,7.9,8.2,7,7,6.7,5.8,6.8,8.8,9.2,7.53,No
1851061957,4.7,7.1,8,6.8,7.3,8.9,8.2,7.3,8.5,7.9,7.47,No
1851060083,9.8,5.5,6.9,6,6.4,9.7,6.3,8,7.7,7.8,7.41,No
1851061396,6.2,5.3,5.3,8.3,7.9,8.9,6.3,7.5,10,8.4,7.41,No
1851060522,7.7,9.5,6.9,7.5,5.8,6.5,7,6.9,8.7,7.5,7.4,No
1851061427,8.1,4.6,1.4,8.1,8,9.6,,7.6,9.7,9.5,7.4,No
1851061729,8.5,8.7,8.9,6.6,6.3,5.1,6.7,6.9,8.2,7.9,7.38,No
1851061443,8.6,9.2,6.8,6.9,5.7,5.3,7.8,7.4,8,7.9,7.36,No
1851061602,7.9,6.4,5.9,6.4,6.7,7.7,6.8,7.3,8.7,9.7,7.35,No
1851061934,7.6,8.1,9,7,5.4,7.3,6.5,6.5,8.1,7.9,7.34,No
1851122156,6.3,5.8,7.6,6.9,6.4,9.5,9.4,6.1,7.7,7.7,7.34,No
1851061458,9.1,8.4,6.8,7.4,7.6,7.4,6.4,7.2,6,7,7.33,No
1851061636,8.2,7.6,6.3,7.8,4.3,7.6,8,7.7,7.3,8.2,7.3,No
1851061640,6.8,7.3,8.5,7.3,6.8,8.6,5.8,8.1,6.6,7.1,7.29,No
1851061638,6.4,7.5,8.3,6.2,6,7.3,7.5,6.6,8.7,8.3,7.28,No
1851061678,7.5,8.6,8.4,6.1,6.1,7.8,7.3,6.8,6.9,7.2,7.27,No
1851061523,7.9,8.6,9.2,6.5,5.4,5.7,6.3,7.5,6.5,8.9,7.25,No
1851061631,6.3,8.5,7.8,6.9,2.3,9.7,5.6,8.3,8.7,8,7.21,No
1851061354,7.3,5.9,7.5,6.4,6.1,8,6.5,8.1,8.3,8,7.21,No
1851061763,5.9,5.8,5.7,7,8.3,8.3,6.7,7.6,8.2,8.5,7.2,No
1851061607,7.8,4.8,7.8,6.9,8.6,6.9,7.3,8,6.9,6.9,7.19,No
1851061894,8.2,6,8.3,5.8,6.7,7.5,7.5,7.5,6.8,7.5,7.18,No
1851061545,8.9,7.1,6.2,7.7,5.3,6.8,7.9,7.9,7.2,6.7,7.17,No
1851061429,8.1,3.7,7.3,6.6,4.1,9.3,6.5,8.1,8.3,9,7.1,No
1851061739,7.7,8.5,8.5,6.8,7.6,7.8,7,7.2,4.5,5.1,7.07,No
1851061827,6.9,9.1,7.1,7,6.2,5.9,7,7.7,5.6,8.1,7.06,No
1851061627,6.8,10,6.7,5.6,5.8,8,8,7.1,6.2,6.1,7.03,No
1851121997,8,5.5,9.4,6.9,8.8,5.5,8.3,6.5,5.4,6,7.03,No
1851061904,9.3,8.9,4.9,7,2.1,9.7,5.8,6.4,7.3,8.7,7.01,No
1851061562,8.2,8.1,7.6,7.4,4.1,8.8,7.2,7.6,4,7,7,No
1851061633,6.3,8.5,4.6,6.3,7.4,7.1,5.5,7.8,7.9,8.2,6.96,No
1851061476,4.6,4.3,4.8,7.5,8,8.3,5.7,7.4,9.2,9.5,6.93,No
1851061770,7.6,8.4,8.8,6.2,5,8.1,7.6,7,4.6,5.9,6.92,No
1851061842,5.7,8.3,5.6,7,7.5,5.7,5.8,6.8,8.4,8.2,6.9,No
1851061504,7,6.6,8.6,4.8,6.8,5.2,6.8,6.5,7.7,8.7,6.87,No
1851061588,5.8,6.9,4.8,6.5,5.5,8.6,6,7.1,8.7,8.8,6.87,No
1851061863,4.6,6.8,5.4,7.7,5.7,8.1,6,6.4,8.9,8.7,6.83,No
1851061424,6,6.4,5.3,6,7,8.3,6.8,6.4,7.4,8.7,6.83,No
1851061466,8.9,6.8,8.1,6.2,6,6.5,5.2,7,7.3,6.3,6.83,No
1851061876,4.7,4.5,5.4,7.4,5.4,8.8,5.3,7.7,8.7,9.9,6.78,No
1851061485,6,5.7,6.8,6,7.4,5.8,6.4,7.4,7.1,8.6,6.72,No
1851061407,7,6.9,7.9,5,3.8,7.9,,7.7,7.7,6.5,6.71,No
1851061505,4.4,6.9,7.2,6,7,9.2,4.9,6.8,6.9,7.7,6.7,No
1851122391,5.5,6.7,7.9,4.9,6.4,5.6,7.9,6.2,8,7.9,6.7,No
1851122220,6.5,7.3,7.4,7.4,6.6,9.5,5.9,7,5.4,3.9,6.69,No
1851061503,7.8,8.2,8.4,6.7,0,6.3,6.3,7.4,7.3,8.4,6.68,No
1851122401,7.8,4.5,5.5,5.9,6.4,7.7,5.1,6.2,8.9,7.3,6.67,No
1851061526,4.8,6.6,5.9,7,5.9,5.6,6.3,8.2,8.4,8,6.67,No
1851061734,5.3,9.1,5.5,8,6,5.5,5.5,7,6.3,8.5,6.67,No
1851061726,5.3,7.4,3.2,7.4,6,10,5.5,7.5,6.5,7.7,6.65,No
1851061403,6.6,3.7,4.6,7,7.9,9.9,6,7.4,6.8,6.2,6.61,No
1851061753,6.5,6.5,7.5,6.9,4.6,6.3,6.5,7.2,7.2,6.6,6.58,No
1851060380,5.4,4.6,3.3,6.9,5.7,9.7,7,7.2,7.9,7.9,6.56,No
1851060024,7.6,6.1,9.1,6.7,4.7,5.3,7.8,7.1,4.9,6.1,6.54,No
1851061341,8.8,5.5,6.3,6.8,4.6,5.1,6,7.4,6.4,8.4,6.53,No
1851061542,8.3,6.8,4.5,5.6,5.2,6.8,7,6.4,7.1,7.5,6.52,No
1851061430,7.1,7.6,7.3,5.9,7.8,9.1,7.7,6.9,5.6,0,6.5,No
1851122104,3.7,5.5,8.1,5.2,6.6,6.6,4.9,6.7,9.1,8.6,6.5,No
1851012526,7,7,7,6,5,7,6,7,7.2,5.5,6.47,No
1851061816,5.1,5.7,7.8,6.5,5.9,5.7,5,7,8,7.7,6.44,No
1851060078,1,6.2,4.7,6.5,6,8.9,6,7.4,8.6,8.7,6.4,No
1851122413,3.4,5.8,7.3,6.5,7.1,6.5,5.8,8.4,7,6.1,6.39,No
1851061580,4.6,5.7,4.8,7.4,6.8,5.3,8.5,6.7,6.7,7,6.35,No
1851061585,6.7,6.9,6.7,7.1,5,4.2,5.5,7.5,7.4,6.3,6.33,No
1851061928,6.2,6.7,6.7,6.4,4.5,6.3,6.6,7.8,5.6,6.5,6.33,No
1851122376,7.1,5.2,9.1,6,5.9,6,5.2,7,6.3,5.4,6.32,No
1851061591,5.9,5.2,3.5,5.8,7,4.9,6.5,6.8,8.6,8.6,6.28,No
1851122429,5,7.3,7.6,5.8,5.3,4.2,8.8,7.9,5.6,5.3,6.28,No
1851061509,7.5,7.3,5.6,6.1,7.2,3.7,5.5,7.3,6.3,6,6.25,No
1851061903,4.3,3.5,5.8,7,5.3,5.3,5.5,7.5,8.8,9.4,6.24,No
1851122332,5,5.2,7.9,6.3,7.7,6,5.8,7.8,4.7,5.9,6.23,No
1851061583,3.6,7.5,6,4,5.9,5.8,3.7,7.1,9.1,9.4,6.21,No
1851061899,8.5,5.7,7.2,5.2,5,5.5,5.3,7.4,6.3,6,6.21,No
1851061370,4,6,6,6,5.1,6,4,7.4,8.7,8.5,6.17,No
1851061824,5.8,6.3,5.5,5.7,5.8,6.8,6,6.8,5.9,7,6.16,No
1851061322,6.6,4.8,7.4,6.5,6.4,6.2,7,6.4,3.2,7,6.15,No
1851122515,6.3,8.5,6.6,5.5,4.1,5.2,7.6,6.9,4,6.8,6.15,No
1851061883,7.3,4.6,6.5,5.6,5,4,5,6.9,8.1,8,6.1,No
1851061463,4.8,5.7,4.8,7,3.8,7,5.8,7.3,7.4,7.1,6.07,No
1851061318,0,7,3.7,7,7,7.1,5.8,6.9,7.6,8.6,6.07,No
1851061615,3.6,4.3,4.8,6.7,6.3,6.7,6,7.4,6.9,7.9,6.06,No
1851061791,5.1,4.4,6.2,6.4,6,5.9,5.5,8,5.6,6.7,5.98,No
1851061687,7,9.4,5.8,4.8,5.5,5.7,6,6.3,3.3,6,5.98,No
1851061805,6.4,4.3,3.5,6.8,5,4.4,4.8,7.6,8.6,8.2,5.96,No
1851060133,4.9,3.8,6.7,7.6,6.6,9.2,5,7.1,8.7,0,5.96,No
1851061359,6,5.9,4.4,6.8,6.4,5.4,7.5,6.6,5.4,4.9,5.93,No
1851060019,4.6,3.7,4.5,6.7,7.4,4.8,4.4,8,7.6,7,5.87,No
1851060136,4.4,7.3,6.1,6,5.5,6.5,6.5,7.1,4.4,4.8,5.86,No
1851061819,7.2,4.2,6,6.7,7.5,5.4,3.2,7,3.7,7,5.79,No
1851122142,6.8,6.2,8.4,6.3,7,4.2,2.9,6.3,3.8,6,5.79,No
1851061716,4.2,6.3,5.2,6.2,7.9,3.5,6,6.5,5.5,6.5,5.78,No
1851060012,6.4,9,3.6,5.8,0,7.6,6.5,6.5,5,7.2,5.76,No
1851061724,5,2.9,5.5,5.4,3.8,4.8,6.4,7,8.5,8.1,5.74,No
1851061717,5.7,4.4,5,6,5.8,4.3,7.8,6.6,5.7,6,5.73,No
1851122303,4.5,6.4,7.6,5.4,4.1,6.5,3.1,7.4,5.8,6.4,5.72,No
1851061531,4.6,4.4,5.7,7.1,5.1,5,6.2,7.3,5.4,5.9,5.67,No
1851061543,0,4.1,6.1,8.1,0,6.9,5.8,8,9.1,8.5,5.66,No
1851063190,4.3,3.4,2.4,5.5,7,6.7,5,7.5,8.1,6,5.59,No
1851061715,7.8,0.8,6.3,2.6,6,4.6,6.7,7.1,6.3,7.5,5.57,No
1851061935,2.6,6.1,3.5,5.2,5.3,4.3,6,6.3,7.9,8.3,5.55,No
1851061826,7,4.2,6,7,5.6,7,6,0,5.4,7,5.52,No
1851061431,4.1,3.6,4.8,4.7,6.9,4.1,4.8,7,7.2,7.7,5.49,No
1851122160,2.3,2.6,7.6,6.8,4.8,3.8,4.8,6.4,8.2,7.6,5.49,No
1851061456,6.4,6.8,3.3,5.4,3.6,4.2,5.5,6.3,7,6.2,5.47,No
1851061955,6.1,7.1,4.8,4.1,5.4,3.8,4.5,7.5,4.9,6.4,5.46,No
1851122458,2,4.2,8.1,6,5.8,5.4,1.4,8,6.9,6.8,5.46,No
1851060586,4.5,6,1.9,5.2,5.7,4.2,5.6,6.5,8.1,6.7,5.44,No
1851061669,3.2,3.6,1.4,6.1,4.5,6.2,4,7.8,8.8,8.7,5.43,No
1851061519,0,5.8,5.2,6.3,6.1,2.8,6,6.9,7,8.1,5.42,No
1851122464,5.8,4,7.6,5.1,3.6,5.2,6.3,6.3,4.3,6,5.42,No
1851122518,5.4,4.3,7.1,5.6,3.3,7.5,3.3,6.6,5.6,5.4,5.41,No
1851061468,2.7,5.3,3.2,6,5.9,4.7,5.7,6.2,7.5,6.7,5.39,No
1851122205,3.4,3.2,7.6,6.1,5.7,6.4,4.2,6.5,3.7,7,5.38,No
1851122485,4.3,5.5,8.6,5,5.6,4.3,5.5,6.2,4,4.8,5.38,No
1851062039,4.4,7.4,4.7,6.3,4.9,4.9,6,7.2,4.2,3.7,5.37,No
1851061483,0,4.3,4.3,5.8,4.9,4.1,4.5,7.7,9.4,8.6,5.36,No
1851061518,3.5,7.8,3.4,5.8,2.5,3.4,7,7,6.2,7,5.36,No
1851061599,7.7,0,6.8,0,4.5,4.4,6,7.3,8.1,8.7,5.35,No
1851061772,2.5,4.4,4,4.5,5.3,2.9,6,6.6,7.5,9.5,5.32,No
1851122365,4.8,4.9,7.9,5.6,1.4,4.6,5.7,7,4.9,6,5.28,No
1851061315,4.9,3,4.9,5.5,6.7,5.3,3.8,7.6,4.7,6,5.24,No
1851122031,2,1.8,7.9,5.9,5.5,3.4,2.2,6.5,8.3,8.9,5.24,No
1851061697,1.9,4,3.9,5.7,4.6,7,5,6.2,7,7,5.23,No
1851061499,0,6.2,5.7,5.4,0,8.9,7,7.1,5.8,6.1,5.22,No
1851122237,4,4.9,7.1,5.7,4.7,2.6,5.3,7,3.8,7,5.21,No
1851122026,3.1,5,8.1,5.2,5.6,4.6,3.9,6.2,3.1,7,5.18,No
1851061590,4.8,5.4,5.6,4.6,5.3,4.6,5,6.9,3,6,5.12,No
1851122592,2.9,2.7,8.1,6,3.4,6.5,7.5,6.8,2.1,5,5.1,No
1851061326,2.3,3.6,1.6,4.4,5.4,5,4,7.5,8.3,8.6,5.07,No
1851122245,2.3,4.4,7.1,5.3,3.8,3.9,1.4,6.6,8,7.8,5.06,No
1851061567,3.8,3.7,5.7,3.6,1.4,5.8,3.9,7.6,7.5,7.5,5.05,Yes
1851061701,5.1,3.8,2,6.7,5.5,5.4,5,7,3.9,6,5.04,No
1851122319,6,5.1,8.6,5.8,5,0,1.6,6.8,5.2,6.3,5.04,No
1851061860,3.6,4.6,2.2,5.2,5.2,5.8,4.8,6.8,6,6,5.02,No
1851060037,4.4,5.8,0.4,5.3,5.3,5,4.5,7.4,6.3,5.7,5.01,No
1851061821,2.6,2,2.5,6.4,5.5,6.5,5.3,6.7,5.5,7.1,5.01,No
1851061870,6,0,6.1,0,2.4,7.7,7,7.6,6.8,6,4.96,No
1851122212,2.4,2,7.6,5.6,4.3,4.8,2,6.7,6,8.1,4.95,No
1851121851,3.1,4,8.1,5.8,5.3,5.8,2,6.6,3.3,5,4.9,No
1851121874,1.4,1.6,4,6.4,6.7,0,6,7.3,7.2,8.4,4.9,No
1851122197,2,3.7,6.6,6.4,3.6,3.6,2.3,7.3,6.1,7.4,4.9,No
1851061546,4.4,2,3.2,5.6,0,2.9,5.3,7.4,8.8,9,4.86,No
1851122407,1.4,2.9,7.1,5,3.6,6.2,4.2,6.9,5.4,5.7,4.84,No
1851060048,0,2.4,0.8,6.8,6.1,3.8,4.9,7.7,7.5,8.3,4.83,No
1851061758,0.8,2,0.8,5.8,5.4,4.8,5.3,6.6,8,8.8,4.83,No
1851061603,4.5,3.2,5.1,5,5,3.6,5.3,7.7,4.4,4.4,4.82,No
1851122363,1.8,4.8,7.6,6,5.1,2.5,4.7,6.4,4.4,4.8,4.81,No
1851122073,2.8,4.8,8.4,4.8,5.2,0,7.1,6.6,1.2,7,4.79,No
1851061508,3.6,2,2.3,6,4.9,0,5.3,6.5,8.3,8.7,4.76,No
1851061383,0,4.1,0.4,5.8,3.7,5.6,6,6.4,7.3,7.7,4.7,No
1851122125,4.1,3.7,7.6,5.5,3.6,4.4,3.8,5.2,3,6,4.69,No
1851061639,7,0.4,7,2.8,2.3,0,2.1,6.1,9.1,9,4.58,Yes
1851061624,2.1,3.2,6,6,3.4,2.9,3.5,6.5,6,6,4.56,Yes
1851122032,2.4,3.6,7.1,5.8,4.7,3.7,1.8,5.7,4.3,6.1,4.52,No
1851122136,3,4.1,6.1,4.8,4.5,4.2,4.6,5.8,0,8,4.51,No
1851061785,5.2,2.8,0,5.4,4.2,6.1,3.5,6.5,5.2,6.1,4.5,No
1851060051,0.8,5.9,2,6,5.3,4.4,3.8,7.2,3.1,6,4.45,No
1851061939,4,0,3.5,0,6.4,5.5,0,7.3,8.4,8.7,4.38,No
1851061799,3.5,1.8,2.8,4.9,0,7,2.6,7.1,7,7,4.37,No
1851122450,0,2,8,3.8,3.3,3.6,1.2,6.3,7.8,7.6,4.36,Yes
1851061377,0,3.1,4.2,3.9,5.1,5.7,5.2,7.4,4.4,3.6,4.26,No
1851061803,4.6,2.5,3.8,5.8,2.9,2.1,6,6,2.5,5.5,4.17,Yes
1851122462,0,4.6,6.6,5,4.3,2.5,2.3,5.5,5.2,5.7,4.17,No
1851063209,0,0,2,6.8,5.8,5.9,5,6.8,6.6,2.6,4.15,No
1851122213,1.4,2.4,0,4.3,4.9,4.2,2.4,6.5,6.8,6.6,3.95,No
1851122496,1.9,1.8,7,4.8,2.9,4.5,1.2,5.5,4.6,5.3,3.95,No
1851061569,0,3.6,0,4.8,4.1,0,3.8,7,7.9,6,3.72,Yes
1851061641,5,0,2.2,4.4,3.2,3.2,3.1,6.1,2.5,7,3.67,Yes
1851061923,0,0,0,5.4,0,0,6,6.9,9.7,7.8,3.58,Yes
1851122180,1.6,3.2,5.1,6.2,0,0,0,6.7,1.7,9,3.35,Yes
1851060681,0,3.7,2.9,0,0,5.6,5.3,7.4,8.4,0,3.33,Yes
1851061367,6,0,0,0,6,0,0,6.1,6,6,3.01,Yes
1851061548,4.4,0,0,0,0,9.9,0,7,0,6,2.73,Yes
1851061426,0,1.6,0,0,0,2.6,3.3,5.6,6,6,2.51,Yes
1851122557,0,0,0,0,0,0,0,0,0,0,0,Yes