Dai so tuyen tinh,Giai tich ham mot bien,Giai tich ham nhieu bien,Chu nghia Mac - Le nin 1,Phap luat Dai cuong,Tin hoc Dai cuong,Toan roi rac,Ky nang giao tiep va thuyet trinh,Tieng Anh 1,Tieng Anh 2,Canh bao hoc vu
7.3,5.4,4.6,3.3,6.9,5.7,9.7,7,6.6,8.1,No
7,2.7,5.3,3.2,6,5.9,4.7,5.7,8.4,6.8,No
6.6,3.8,3.7,5.7,3.6,1.4,5.8,3.9,5.9,7,No
7.7,4.7,4.5,5.4,7.4,5.4,8.8,5.3,5.7,7.8,No
7.3,5.2,2.8,0,5.4,4.2,6.1,3.5,2.4,0.8,Yes
7.2,5,2.9,5.5,5.4,3.8,4.8,6.4,3.7,7.3,No
7.5,9.1,9.3,9.2,6.6,4.6,10,8.5,6.9,7.9,No
7,4.4,2,3.2,5.6,0,2.9,5.3,7,7,No
7.5,4.6,4.3,4.8,7.5,8,8.3,5.7,0.4,7,No
7.4,2.6,2,2.5,6.4,5.5,6.5,5.3,8.8,10,No
7,7,4.2,6,7,5.6,7,6,6.5,7.9,No
5.1,5.9,5.2,3.5,5.8,7,4.9,6.5,3.6,1.4,No
5.6,4.6,3.7,4.5,6.7,7.4,4.8,4.4,7.6,6.3,No
2,5,0,2.2,4.4,3.2,3.2,3.1,6.8,8.1,Yes
3.2,3.5,7.8,3.4,5.8,2.5,3.4,7,0.8,6.3,No
0,4.4,0,0,0,0,9.9,0,6.9,4.8,Yes
1.6,8.5,9.1,9.4,7.2,6.1,9.8,9,8.4,8.8,No
8.4,9.2,9.6,7.9,7.6,7.4,5.8,7.8,0,3.5,No
4.8,6.2,6.7,6.7,6.4,4.5,6.3,6.6,5.5,6.5,No
5.9,3.9,5.7,4.6,7,5,4.2,3.9,5.1,5.7,No
6.2,0.4,5.8,3.7,5.6,6,8.1,7.7,7,10,No
3.9,4.7,6.5,6,8.9,6,6.8,7.4,7.6,7.4,No
0.4,9.3,6,5.7,9.1,7.3,7,6.8,6.6,9.3,No
4.7,6.7,5.6,5.8,8,8,7.8,6.5,5.9,5.7,No
9.3,7.5,6.9,4.6,6.3,6.5,0.8,6.8,6.1,3.8,No
6.7,7.9,4,6.7,9.5,6.5,7.3,6.6,4.1,9.3,No
7.5,0.8,5.8,5.4,4.8,5.3,7.9,5,3.8,7.9,No
7.9,7.2,5.2,5,5.5,5.3,7,6,5,7,No
0.8,3.6,5.8,0,7.6,6.5,7,2.8,2.3,0,Yes
2.3,2.9,0,0,5.6,5.3,10,7.4,7.3,4.5,No
7.2,2,6.7,5.5,5.4,5,7,3.9,6,6.5,No
8,7.1,6.2,6.1,6.1,5.7,6.4,4.2,6.5,3.7,No
6.5,7.2,7.2,6.6,3.8,3.3,3.6,1.2,6.3,7.8,No
6.5,6.4,8.4,7.9,5,3.6,6.2,4.2,6.9,5.4,No
5.3,6.6,8,8.8,5.8,5.3,5.8,2,6.6,3.3,No
5.3,6.5,8.3,8.7,4.3,4.9,4.2,2.4,6.5,6.8,No
5.3,7.4,6.3,6,5.8,5,0,1.6,6.8,5.2,No
6.5,6.5,5,7.2,5.9,7,7.7,5.1,6.2,8.9,No
5.3,7.4,8.4,0,5.6,4.3,4.8,2,6.7,6,No
3.4,7,3.9,6,3.8,2.9,4.5,3.5,5.5,4.6,Yes
3.5,6.5,7.7,8.7,3.9,1.7,0,0,7.3,7,Yes
6.5,6.5,8.1,7.9,6.9,8.8,5.5,8.3,6.5,5.4,No
6,6.9,7,8.1,6,3.4,6.5,7.5,6.8,2.1,No
7,6.9,8.7,7.5,6.4,6.7,0,6,7.3,7.2,No
7.8,7.4,8,7.9,6.9,6.4,9.5,9.4,6.1,7.7,No
0,6.1,6,6,5,5.6,4.3,5.5,6.2,4,No
5,7.6,9.7,9.5,5.8,5.3,4.2,8.8,7.9,5.6,No
3.5,6.5,6,6,6.3,7.7,6,5.8,7.8,4.7,No
6.3,8,7.7,7.8,6.8,4.8,3.8,4.8,6.4,8.2,No
6,7.4,6.9,7.9,5.1,3.6,5.2,6.3,6.3,4.3,No
7,7.2,4.5,5.1,5.7,4.7,2.6,5.3,7,3.8,No
7.8,7.1,4.9,6.1,4.8,4.5,4.2,4.6,5.8,0,No
8.5,8.4,8.8,9,5.6,1.4,4.6,5.7,7,4.9,No
5.8,8,9.1,8.5,5.2,6.6,6.6,4.9,6.7,9.1,No
8.5,6.7,7.4,7.7,6,5.9,6,5.2,7,6.3,No
4.5,7.7,9.4,8.6,6,6,5,5.6,4.3,5.5,No
4.4,5.7,7.1,5.1,5,6.2,5.7,6.4,4.2,6.5,No
7.6,7.3,5.9,7.8,9.1,7.7,3.3,3.6,1.2,6.3,No
6.9,7.2,6,7,9.2,4.9,3.6,6.2,4.2,6.9,No
7.3,8.5,7.3,6.8,8.6,5.8,5.3,5.8,2,6.6,No
6,8.3,5.8,6.7,7.5,7.5,4.9,4.2,2.4,6.5,No
0,2,6.8,5.8,5.9,5,3.9,0,1.6,6.8,Yes
4.8,7.4,6.5,6.4,6.2,7,7,7.7,5.1,6.2,No
5.7,4.8,7.4,6.8,5.3,8.5,4.3,4.8,2,6.7,No
6.3,5.5,5.7,5.8,6.8,6,2.9,4.5,1.2,5.5,No
3.8,6.7,7.6,6.6,0,5,1.7,0,0,7.3,Yes
1.8,2.8,4.9,0,7,2.6,8.8,5.5,8.3,6.5,No
8.8,8.8,6.2,7.5,9.9,8.5,3.4,6.5,7.5,6.8,No
8.7,8.9,6.6,6.3,5.1,6.7,6.7,0,6,7.3,No
7.1,9.1,7.7,7.6,9,5.8,6.4,9.5,9.4,6.1,No
6.4,5.3,6,7,8.3,6.8,5.6,4.3,5.5,6.2,No
7.3,8.2,8.1,7.5,7,5.7,5.3,4.2,8.8,7.9,No
7,3.7,7,7,7.1,5.8,7.7,6,5.8,7.8,No
8.2,8.9,7.2,7.5,6.3,8.4,4.8,3.8,4.8,6.4,No
7.9,8.2,7,7,6.7,5.8,3.6,5.2,6.3,6.3,No
4.6,6.5,5.6,5,4,5,6.9,3.7,7,6.7,No
3.5,5.8,7,5.3,5.3,5.5,7.5,7.8,7.6,5.8,No
5.8,5.7,7,8.3,8.3,6.7,7.6,5.4,5.7,6.4,No
3.7,4.6,7,7.9,9.9,6,7.4,3.3,5,6.8,No
9.6,9.1,8,7.2,10,8.7,7.8,6.8,6.6,5.8,No
5.7,6.8,6,7.4,5.8,6.4,7.4,5.2,6.3,6.6,No
3,3.5,3.7,6.7,5.3,3.8,7.6,8.9,7.3,0,Yes
3.1,4.2,3.9,5.1,5.7,5.2,7.4,6,8.1,7.5,No
6.6,8.1,7.7,7,10,8.5,7.3,4.6,5.3,6.3,No
8.4,6.8,7.4,7.6,7.4,6.4,7.2,0,6,7.6,No
5.9,7,6.8,6.6,9.3,7.3,7,5.4,6,7,No
5.8,7,5.3,5.3,5.5,7.5,8.8,2.1,5,7.5,No
5.7,7,8.3,8.3,6.7,7.6,8.2,7.2,8.4,7,No
4.6,7,7.9,9.9,6,7.4,6.8,7.7,7.7,7.5,No
9.1,8,7.2,10,8.7,7.8,9.3,4,4.8,7,No
6.8,6,7.4,5.8,6.4,7.4,7.1,5.6,5.3,5,No
4.9,5.5,6.7,5.3,3.8,7.6,4.7,4.7,7.4,5.8,No
4.2,3.9,5.1,5.7,5.2,7.4,4.4,8.2,6.7,5.3,No
8.1,7.7,7,10,8.5,7.3,9.9,4.3,5.1,5.7,No
6.8,7.4,7.6,7.4,6.4,7.2,6,7,7,10,No
7,6.8,6.6,9.3,7.3,7,8.9,8.7,7.6,7.4,No
7.8,6.5,5.9,5.7,5,7,8,7.7,6.6,9.3,No
0.8,6.8,6.1,3.8,4.9,7.7,7.5,8.3,5.9,5.7,No
7.3,6.6,4.1,9.3,6.5,8.1,8.3,9,6.1,3.8,No
7.9,5,3.8,7.9,7,7.7,7.7,6.5,4.1,9.3,No
7,6,5,7,6,7,7.2,5.5,3.8,7.9,No
7,2.8,2.3,0,2.1,6.1,9.1,9,5,7,No
10,7.4,7.3,4.5,8.6,8.1,8.9,7.9,2.3,0,No
7.9,6.8,7.8,7.5,7.8,7.5,9,8.9,7.3,4.5,No
1.4,6.1,4.5,6.2,4,7.8,8.8,8.7,7.8,7.5,No
6.3,7.8,4.3,7.6,8,7.7,7.3,8.2,4.5,6.2,No
8.1,6.2,6,6.5,5.2,7,7.3,6.3,4.3,7.6,No
9.3,8.9,4.9,7,2.1,9.7,5.8,6.4,7.3,8.7,No
4.8,6.6,5.9,7,5.9,5.6,6.3,8.2,8.4,8,No
4.4,7.4,4.7,6.3,4.9,4.9,6,7.2,4.2,3.7,No
4.8,5.4,5.6,4.6,5.3,4.6,5,6.9,3,6,No
5.5,8.3,6.5,4.5,3.2,5.1,8,7.2,10,8.7,No
6.5,7.5,6.8,7.5,7.3,5.6,6,7.4,5.8,6.4,No
0,6,7.3,0.8,5.9,2,5.5,6.7,5.3,3.8,No
9.5,9.4,6.1,5.3,7.4,3.2,3.9,5.1,5.7,5.2,No
4.3,5.5,6.2,0,3.6,0,7.7,7,10,8.5,No
4.2,8.8,7.9,2.3,3.6,1.6,7.4,7.6,7.4,6.4,No
6,5.8,7.8,7.8,8.2,8.4,6.8,6.6,9.3,7.3,No
3.8,4.8,6.4,4.1,3.6,4.8,6.5,5.9,5.7,5,No
5.2,6.3,6.3,7.9,6.4,5.9,6.8,6.1,3.8,4.9,No
3.7,7,6.7,5.1,4.4,6.2,6.6,4.1,9.3,6.5,No
7.8,7.6,5.8,1.9,4,3.9,5,3.8,7.9,7,No
5.4,5.7,6.4,0,4.1,0.4,6,5,7,6,No
3.3,5,6.8,1,6.2,4.7,2.8,2.3,0,2.1,Yes
6.8,6.6,5.8,9.8,7,9.3,7.4,7.3,4.5,8.6,No
5.2,6.3,6.6,6.8,10,6.7,6.8,7.8,7.5,7.8,No
8.9,7.3,0,6.5,6.5,7.5,6.1,4.5,6.2,4,No
6,8.1,7.5,9.2,9.2,7.9,7.8,4.3,7.6,8,No
4.6,5.3,6.3,0.8,2,0.8,6.2,6,6.5,5.2,No
0,6,7.6,3.6,2,2.3,2.6,6,4.6,6.7,Yes
5.4,6,7,8.5,5.7,7.2,6.5,5.5,8.6,6,No
2.1,5,7.5,6.4,9,3.6,6.2,5,8.1,7.6,No
7.2,8.4,7,0,3.7,2.9,0,6.4,5.5,0,Yes
7.7,7.7,7.5,5.1,3.8,2,5.8,2.9,2.1,6,No
4,4.8,7,7,6.6,8.6,6.7,7.5,5.4,3.2,No
5.6,5.3,5,7.6,8.1,9,7,7.5,5.7,5.8,No
4.7,7.4,5.8,0,5.8,5.2,5.6,5.2,6.8,7,No
8.2,6.7,5.3,7.7,9.5,6.9,6,5.5,6.5,6.5,No
4.3,5.1,5.7,8.6,9.2,6.8,5.2,5.2,5.8,4.8,No
7,7,10,6,8,5,5.3,5.3,5,4.5,No
8.7,7.6,7.4,8.1,4.6,1.4,0,0,2.6,3.3,Yes
7.7,6.6,9.3,2.1,3.2,6,6.8,6.4,7.9,8,No
8.3,5.9,5.7,9.8,5.5,6.9,7,6.2,5.9,7,No
9,6.1,3.8,3.6,4.3,4.8,7.7,6.9,6.7,6.8,No
6.5,4.1,9.3,7.7,8.5,8.5,6.8,5,4.4,4.8,No
5.5,3.8,7.9,7.6,6.1,9.1,7,2.1,9.7,5.8,No
9,5,7,9.4,8.5,10,7,5.9,5.6,6.3,No
3.9,2.3,0,0,4.1,6.1,6.3,4.9,4.9,6,Yes
8.9,7.3,4.5,8.2,8.3,9.2,4.6,5.3,4.6,5,No
3.8,4.9,7.7,0,4.3,4.3,6.8,4.6,5.1,6,No
9.3,6.5,8.1,2.5,4.4,4,6,5.1,6,4,No
6.1,7,7.7,0,0,0,7,3.8,7,3.9,Yes
7,6,7,5.7,4.4,5,9.4,8.6,6,6,No
0,2.1,6.1,7.5,8.6,8.4,7.1,5.1,5,6.2,No
4.5,8.6,8.1,7,9.4,5.8,5.9,7.8,9.1,7.7,No
7.5,7.8,7.5,4.2,6.3,5.2,6,7,9.2,4.9,No
6.2,4,7.8,4.3,3.4,2.4,7.3,6.8,8.6,5.8,No
7.6,8,7.7,0,6.2,5.7,5.8,6.7,7.5,7.5,No
6.5,5.2,7,6.4,7.5,8.3,6.8,5.8,5.9,5,No
7,2.1,9.7,6.2,5.3,5.3,6.5,6.4,6.2,7,No
7,5.9,5.6,10,7.5,8.4,7.4,6.8,5.3,8.5,No
6.3,4.9,4.9,7.5,4.6,6.8,5.7,5.8,6.8,6,No
4.6,5.3,4.6,7.3,5.4,4.6,7.6,6.6,9.2,5,No
7,9.4,5.8,7,2.7,5.3,4.9,0,7,2.6,No
4.2,6.3,5.2,6.6,3.8,3.7,6.2,7.5,9.9,8.5,No
6.2,5.3,5.3,7.7,4.7,4.5,6.6,6.3,5.1,6.7,No
6.7,0,6,7.3,6.8,5.3,7.7,7.6,9,5.8,No
6.4,9.5,9.4,6.1,7,2.1,6,7,8.3,6.8,No
1.6,6.8,5.2,6.3,1.4,8,6.9,6.8,5.3,7.4,No
5.1,6.2,8.9,7.3,7,7.6,6.8,6,6.5,6.5,No
2,6.7,6,8.1,8.5,7.5,9.1,8.7,5.3,7.4,No
1.2,5.5,4.6,5.3,6,6.4,8.9,8.7,5,7,No
0,7.3,0,6,7,7.2,7.9,7.9,6.8,6.5,No
8.3,6.5,5.4,6,5.7,6.2,7.5,6.7,6.5,6.5,No
7.5,6.8,2.1,5,3.9,7.6,7.5,7.5,6,6.9,No
6,7.3,7.2,8.4,5.3,7.7,8.7,9.9,7,6.9,No
9.4,6.1,7.7,7.7,3.5,6.5,5.2,6.1,7.8,7.4,No
5.5,6.2,4,4.8,6.4,7,8.5,8.1,0,6.1,No
8.8,7.9,5.6,5.3,8.5,8,5.4,8,5,7.6,No
5.8,7.8,4.7,5.9,5.3,7.4,8.8,9,3.5,6.5,No
4.8,6.4,8.2,7.6,5.7,7.4,9.2,9.5,6.3,8,No
3.8,6.3,3.9,6,2,5,0,2.2,6,7.4,Yes
5.3,7,3.8,7,3.2,3.5,7.8,3.4,7,7.2,No
4.6,5.8,0,8,0,3.9,0,0,7.8,7.1,Yes
5.7,7,4.9,6,1.6,8.5,9.1,9.4,8.5,8.4,No
4.9,6.7,9.1,8.6,8.4,9.2,9.6,7.9,5.8,8,No
5.2,7,6.3,5.4,4.8,6.2,6.7,6.7,8.5,6.7,No
7.9,6.2,8,7.9,5.9,3.9,5.7,4.6,4.5,7.7,No
0,6.7,1.7,9,6.2,0.4,5.8,3.7,3.8,5.7,Yes
2.3,7.3,6.1,7.4,3.9,4.7,6.5,6,7.6,7.3,No
4.7,6.4,4.4,4.8,0.4,9.3,6,5.7,6.9,7.2,No
7.1,6.6,1.2,7,4.7,6.7,5.6,5.8,7.3,8.5,No
3.1,7.4,5.8,6.4,9.3,7.5,6.9,4.6,6,8.3,No
3.3,6.6,5.6,5.4,6.7,7.9,4,6.7,0,2,No
2.2,6.5,8.3,8.9,7.5,0.8,5.8,5.4,4.8,7.4,No
2.9,6.3,3.8,6,7.9,7.2,5.2,5,5.7,4.8,No
1.4,6.6,8,7.8,0.8,3.6,5.8,0,6.3,3.9,Yes
5.9,7,5.4,3.9,2.3,2.9,0,0,3.8,6.7,Yes
1.8,5.7,3.7,6.1,7.2,2,6.7,5.5,1.8,2.8,Yes
3.8,5.2,3,6,8,7.1,6.2,6.1,8.8,8.8,No
3.9,6.2,3.1,7,6.5,7.2,7.2,6.6,8.7,8.9,No
7.6,6.9,4,6.8,6.5,6.4,8.4,7.9,7.1,9.1,No
2.3,5.5,5.2,5.7,5.3,6.6,8,8.8,6.4,5.3,No
5.8,8.4,7,6.1,5.3,6.5,8.3,8.7,7.6,6.6,No
